대여소번호,대여건수,반납건수,총이용건수,자치구,대여소명,위도,경도,순유출,지역명
308,2326.3333333333335,2162.25,4488.583333333333,종로구,308. 광화문 S타워 앞,37.546848,126.872772,164.08333333333348,종로구 광화문 S타워 앞
309,575.0833333333334,397.4166666666667,972.5,종로구,309. 광화문역 6번출구 옆 B,37.532803,126.86393,177.66666666666669,종로구 광화문역 6번출구 옆 B
310,1372.4166666666667,1257.3333333333333,2629.75,중구,310. 청계광장 옆,37.532543,126.868729,115.08333333333348,중구 청계광장 옆
314,1125.25,1116.25,2241.5,종로구,314. 국립현대미술관,37.515156,126.854897,9.0,종로구 국립현대미술관
316,1718.8333333333333,1664.75,3383.5833333333335,종로구,316. 종각역 1번출구 앞,37.511585,126.84156,54.08333333333326,종로구 종각역 1번출구 앞
318,940.4166666666666,943.75,1884.1666666666667,중구,318. 광교사거리 남측,37.517059,126.848488,-3.3333333333333712,중구 광교사거리 남측
320,1164.0,1164.1666666666667,2328.1666666666665,중구,320. 을지로입구역 4번출구 앞,37.533047,126.829956,-0.16666666666674246,중구 을지로입구역 4번출구 앞
321,875.5833333333334,881.0833333333334,1756.6666666666667,중구,321. KEB 하나금융그룹 명동사옥 옆,37.532547,126.830803,-5.5,중구 KEB 하나금융그룹 명동사옥 옆
322,557.0833333333334,534.6666666666666,1091.75,중구,322. 명동성당 앞,37.532433,126.954742,22.416666666666742,중구 명동성당 앞
324,661.9166666666666,699.1666666666666,1361.0833333333333,중구,324. 신세계백화점 본점 앞,37.541153,127.002213,-37.25,중구 신세계백화점 본점 앞
326,1156.0,917.0,2073.0,종로구,326. 안국역 5번출구 앞,37.536758,126.970001,239.0,종로구 안국역 5번출구 앞
327,1122.1666666666667,1138.75,2260.9166666666665,종로구,327. 낙원상가 옆,37.533066,126.960732,-16.583333333333258,종로구 낙원상가 옆
328,561.0909090909091,540.1818181818181,1101.2727272727273,종로구,328. 탑골공원 앞,37.552277,126.972687,20.90909090909099,종로구 탑골공원 앞
329,1318.25,1171.5833333333333,2489.8333333333335,종로구,329. 청계2가 사거리 옆,37.520504,126.989738,146.66666666666674,종로구 청계2가 사거리 옆
331,1047.8333333333333,1068.6666666666667,2116.5,중구,331. 을지로2가 사거리 북측,37.53841,126.986649,-20.833333333333485,중구 을지로2가 사거리 북측
332,735.9166666666666,730.3333333333334,1466.25,중구,332. 을지로2가 사거리 남측,37.53508,126.985382,5.5833333333332575,중구 을지로2가 사거리 남측
